1,42400983
2,10158617
3,3120890
4,1154332
5,527738
6,279394
7,166660
8,107178
9,74213
10,55769
11,42166
12,32820
13,26674
14,21188
15,17034
16,14401
17,12057
18,10303
19,8974
20,7942
21,7057
22,6158
23,5424
24,4874
25,4518
26,4028
27,3670
28,3204
29,2912
30,2791
31,2469
32,2298
33,2183
34,1913
35,1788
36,1675
37,1467
38,1388
39,1246
40,1138
41,1107
42,1050
43,960
44,859
45,788
46,698
47,726
48,632
49,655
50,543
51,538
52,490
53,455
54,464
55,389
56,409
57,356
58,315
59,288
60,314
61,265
62,277
63,248
64,226
65,218
66,180
67,191
68,186
69,195
70,152
71,137
72,143
73,158
74,141
75,133
76,114
77,128
78,97
79,102
80,98
81,91
82,90
83,78
84,74
85,78
86,61
87,72
88,63
89,62
90,56
91,47
92,46
93,60
94,46
95,33
96,50
97,41
98,41
99,38
100,38
101,33
102,43
103,30
104,19
105,28
106,32
107,18
108,18
109,29
110,22
111,30
112,20
113,20
114,25
115,23
116,18
117,16
118,15
119,15
120,16
121,14
122,13
123,9
124,11
125,16
126,8
127,11
128,10
129,9
130,12
131,8
132,9
133,9
134,5
135,6
136,6
137,1
138,5
139,8
140,8
141,7
142,11
143,2
144,7
145,5
146,6
147,8
148,3
149,5
150,8
151,3
152,3
153,6
154,1
155,7
156,2
157,3
158,2
159,3
160,8
161,2
162,3
163,2
164,1
165,3
166,3
167,1
168,1
169,4
170,2
171,3
172,1
173,2
175,3
176,3
177,2
178,4
179,3
180,1
181,2
182,5
183,2
185,2
186,1
187,2
189,1
190,3
191,2
192,2
195,1
198,2
199,3
201,2
202,1
203,1
205,1
206,3
207,1
210,1
213,1
220,1
221,1
223,1
226,1
234,1
235,1
236,1
239,1
240,1
244,1
255,1
261,1
263,1
270,1
279,1
280,1
424,1
